node1	label	node2	ratio	color
Addilyn	link	Addilyn x Adriana	0.28807339449541286	#888888
Addilyn x Adriana	link	Adriana	0.28807339449541286	#888888
Addilyn	link	Addilyn x Landon	0.1288120163859809	#888888
Addilyn x Landon	link	Landon	0.1288120163859809	#888888
Adelyn	link	Adelyn x Landon	0.45775301764159704	#888888
Adelyn x Landon	link	Landon	0.45775301764159704	#888888
Adelyn	link	Adelyn x Parker M	0.011406844106463879	#888888
Adelyn x Parker M	link	Parker M	0.011406844106463879	#888888
Adriana	link	Adriana x Bruce	0.10526315789473684	#888888
Adriana x Bruce	link	Bruce	0.10526315789473684	#888888
Adriana	link	Adriana x Dominick	0.0125	#888888
Adriana x Dominick	link	Dominick	0.0125	#888888
Adriana	link	Adriana x Landon	0.3682502213042195	#888888
Adriana x Landon	link	Landon	0.3682502213042195	#888888
Adriana	link	Adriana x Mila	0.11645101663585952	#888888
Adriana x Mila	link	Mila	0.11645101663585952	#888888
Adriana	link	Adriana x Olivia	0.48883374689826303	#888888
Adriana x Olivia	link	Olivia	0.48883374689826303	#888888
Alexis F	link	Alexis F x Olivia	0.20240480961923848	#888888
Alexis F x Olivia	link	Olivia	0.20240480961923848	#888888
Alivia	link	Alivia x Landon	0.45666235446313064	#888888
Alivia x Landon	link	Landon	0.45666235446313064	#888888
Allie	link	Allie x Landon	0.44522144522144524	#888888
Allie x Landon	link	Landon	0.44522144522144524	#888888
Andre	link	Andre x Landon	0.09315068493150686	#888888
Andre x Landon	link	Landon	0.09315068493150686	#888888
Anna	link	Anna x Landon	0.2988165680473373	#888888
Anna x Landon	link	Landon	0.2988165680473373	#888888
Anthony	link	Anthony x Landon	0.20118343195266272	#888888
Anthony x Landon	link	Landon	0.20118343195266272	#888888
Antonio	link	Antonio x Landon	0.436950146627566	#888888
Antonio x Landon	link	Landon	0.436950146627566	#888888
Ariel M	link	Ariel M x Cesar	0.30752688172043013	#888888
Ariel M x Cesar	link	Cesar	0.30752688172043013	#888888
Ariel M	link	Ariel M x Landon	0.3343701399688958	#888888
Ariel M x Landon	link	Landon	0.3343701399688958	#888888
Ariel M	link	Ariel M x Wade	0.19318181818181818	#888888
Ariel M x Wade	link	Wade	0.19318181818181818	#888888
Arlo	link	Arlo x Landon	0.49746707193515705	#888888
Arlo x Landon	link	Landon	0.49746707193515705	#888888
Aspen	link	Aspen x Mila	0.10675381263616558	#888888
Aspen x Mila	link	Mila	0.10675381263616558	#888888
Athena	link	Athena x Peyton	0.44813278008298757	#888888
Athena x Peyton	link	Peyton	0.44813278008298757	#888888
Blakely	link	Blakely x Owen	0.49878345498783455	#888888
Blakely x Owen	link	Owen	0.49878345498783455	#888888
Braelynn	link	Braelynn x Mila	0.011990407673860911	#888888
Braelynn x Mila	link	Mila	0.011990407673860911	#888888
Brian	link	Brian x Mila	0.35909090909090907	#888888
Brian x Mila	link	Mila	0.35909090909090907	#888888
Bruce	link	Bruce x Juan	0.0031446540880503146	#888888
Bruce x Juan	link	Juan	0.0031446540880503146	#888888
Bruce	link	Bruce x Landon	0.1202223766504517	#888888
Bruce x Landon	link	Landon	0.1202223766504517	#888888
Bruce	link	Bruce x Mila	0.20963855421686747	#888888
Bruce x Mila	link	Mila	0.20963855421686747	#888888
Bruce	link	Bruce x Peyton	0.15221579961464354	#888888
Bruce x Peyton	link	Peyton	0.15221579961464354	#888888
Cairo	link	Cairo x Landon	0.3876651982378855	#888888
Cairo x Landon	link	Landon	0.3876651982378855	#888888
Case	link	Case x Landon	0.3858632676709154	#888888
Case x Landon	link	Landon	0.3858632676709154	#888888
Corey	link	Corey x Elle	0.20920502092050208	#888888
Corey x Elle	link	Elle	0.20920502092050208	#888888
Corey	link	Corey x Landon	0.019342359767891684	#888888
Corey x Landon	link	Landon	0.019342359767891684	#888888
Corey	link	Corey x Peyton	0.20964360587002095	#888888
Corey x Peyton	link	Peyton	0.20964360587002095	#888888
Damon	link	Damon x Landon	0.4268142681426814	#888888
Damon x Landon	link	Landon	0.4268142681426814	#888888
Daniella	link	Daniella x Jonathan	0.39675174013921116	#888888
Daniella x Jonathan	link	Jonathan	0.39675174013921116	#888888
Daniella	link	Daniella x Landon	0.12941176470588237	#888888
Daniella x Landon	link	Landon	0.12941176470588237	#888888
Deacon	link	Deacon x Landon	0.31767955801104975	#888888
Deacon x Landon	link	Landon	0.31767955801104975	#888888
Delaney	link	Delaney x Juan	0.059907834101382486	#888888
Delaney x Juan	link	Juan	0.059907834101382486	#888888
Delilah	link	Delilah x Gabrielle	0.07246376811594203	#888888
Delilah x Gabrielle	link	Gabrielle	0.07246376811594203	#888888
Delilah	link	Delilah x Jonathan	0.437125748502994	#888888
Delilah x Jonathan	link	Jonathan	0.437125748502994	#888888
Delilah	link	Delilah x Kingston	0.056451612903225805	#888888
Delilah x Kingston	link	Kingston	0.056451612903225805	#888888
Delilah	link	Delilah x Landon	0.42920353982300885	#888888
Delilah x Landon	link	Landon	0.42920353982300885	#888888
Delilah	link	Delilah x Oakley F	0.4652908067542214	#888888
Delilah x Oakley F	link	Oakley F	0.4652908067542214	#888888
Delilah	link	Delilah x Olivia	0.04082441537851764	#888888
Delilah x Olivia	link	Olivia	0.04082441537851764	#888888
Delilah	link	Delilah x Parker M	0.42071881606765327	#888888
Delilah x Parker M	link	Parker M	0.42071881606765327	#888888
Delilah	link	Delilah x Peyton	0.08689390302448392	#888888
Delilah x Peyton	link	Peyton	0.08689390302448392	#888888
Delilah	link	Delilah x Xander	0.475177304964539	#888888
Delilah x Xander	link	Xander	0.475177304964539	#888888
Destiny	link	Destiny x Landon	0.3675675675675676	#888888
Destiny x Landon	link	Landon	0.3675675675675676	#888888
Dominick	link	Dominick x Landon	0.0407673860911271	#888888
Dominick x Landon	link	Landon	0.0407673860911271	#888888
Dorothy	link	Dorothy x Landon	0.16749585406301823	#888888
Dorothy x Landon	link	Landon	0.16749585406301823	#888888
Dylan M	link	Dylan M x Landon	0.42686567164179107	#888888
Dylan M x Landon	link	Landon	0.42686567164179107	#888888
Dylan M	link	Dylan M x Peyton	0.4206896551724138	#888888
Dylan M x Peyton	link	Peyton	0.4206896551724138	#888888
Eden F	link	Eden F x Peyton	0.4524207011686144	#888888
Eden F x Peyton	link	Peyton	0.4524207011686144	#888888
Eden	link	Eden x Kyla	0.00015942606616181745	#888888
Eden x Kyla	link	Kyla	0.00015942606616181745	#888888
Elle	link	Elle x Landon	0.48939686036904434	#888888
Elle x Landon	link	Landon	0.48939686036904434	#888888
Elle	link	Elle x Olivia	0.2797858099062918	#888888
Elle x Olivia	link	Olivia	0.2797858099062918	#888888
Elle	link	Elle x Peyton	0.1437216338880484	#888888
Elle x Peyton	link	Peyton	0.1437216338880484	#888888
Emely	link	Emely x Juan	0.21839080459770116	#888888
Emely x Juan	link	Juan	0.21839080459770116	#888888
Emely	link	Emely x Landon	0.2082635399218314	#888888
Emely x Landon	link	Landon	0.2082635399218314	#888888
Enzo	link	Enzo x Landon	0.19961612284069097	#888888
Enzo x Landon	link	Landon	0.19961612284069097	#888888
Enzo	link	Enzo x Peyton	0.076162215628091	#888888
Enzo x Peyton	link	Peyton	0.076162215628091	#888888
Esther	link	Esther x Landon	0.07760141093474426	#888888
Esther x Landon	link	Landon	0.07760141093474426	#888888
Fiona	link	Fiona x Landon	0.04705102717031146	#888888
Fiona x Landon	link	Landon	0.04705102717031146	#888888
Gabriela	link	Gabriela x Landon	0.03282275711159737	#888888
Gabriela x Landon	link	Landon	0.03282275711159737	#888888
Gianni	link	Gianni x Landon	0.10163934426229508	#888888
Gianni x Landon	link	Landon	0.10163934426229508	#888888
Grady	link	Grady x Landon	0.3824561403508772	#888888
Grady x Landon	link	Landon	0.3824561403508772	#888888
Grady	link	Grady x Mila	0.25027563395810365	#888888
Grady x Mila	link	Mila	0.25027563395810365	#888888
Hallie	link	Hallie x Landon	0.28068043742405835	#888888
Hallie x Landon	link	Landon	0.28068043742405835	#888888
Harley F	link	Harley F x Oakley F	0.2756756756756757	#888888
Harley F x Oakley F	link	Oakley F	0.2756756756756757	#888888
Henry	link	Henry x Landon	0.1402831402831403	#888888
Henry x Landon	link	Landon	0.1402831402831403	#888888
Ismael	link	Ismael x Landon	0.48034934497816595	#888888
Ismael x Landon	link	Landon	0.48034934497816595	#888888
Jacqueline	link	Jacqueline x Landon	0.40540540540540543	#888888
Jacqueline x Landon	link	Landon	0.40540540540540543	#888888
Jaiden	link	Jaiden x Landon	0.16780045351473924	#888888
Jaiden x Landon	link	Landon	0.16780045351473924	#888888
Jared	link	Jared x Landon	0.24719101123595505	#888888
Jared x Landon	link	Landon	0.24719101123595505	#888888
Jase	link	Jase x Kamden	0.1523809523809524	#888888
Jase x Kamden	link	Kamden	0.1523809523809524	#888888
John	link	John x Jonathan	0.4162826420890937	#888888
John x Jonathan	link	Jonathan	0.4162826420890937	#888888
John	link	John x Juan	0.49737118822292326	#888888
John x Juan	link	Juan	0.49737118822292326	#888888
John	link	John x Landon	0.04573547589616811	#888888
John x Landon	link	Landon	0.04573547589616811	#888888
John	link	John x Legend	0.004347826086956522	#888888
John x Legend	link	Legend	0.004347826086956522	#888888
Johnny	link	Johnny x Landon	0.36466165413533835	#888888
Johnny x Landon	link	Landon	0.36466165413533835	#888888
Jonathan	link	Jonathan x Landon	0.2811718470882458	#888888
Jonathan x Landon	link	Landon	0.2811718470882458	#888888
Jonathan	link	Jonathan x Lexi	0.3770491803278688	#888888
Jonathan x Lexi	link	Lexi	0.3770491803278688	#888888
Jonathan	link	Jonathan x Lyla	0.13756613756613756	#888888
Jonathan x Lyla	link	Lyla	0.13756613756613756	#888888
Jonathan	link	Jonathan x Melody	0.31799729364005414	#888888
Jonathan x Melody	link	Melody	0.31799729364005414	#888888
Juan	link	Juan x Landon	0.4048702167514049	#888888
Juan x Landon	link	Landon	0.4048702167514049	#888888
Juan	link	Juan x Lexi	0.13347022587268995	#888888
Juan x Lexi	link	Lexi	0.13347022587268995	#888888
Juan	link	Juan x Lilliana	0.21311475409836064	#888888
Juan x Lilliana	link	Lilliana	0.21311475409836064	#888888
Juan	link	Juan x Oakley F	0.21471571906354514	#888888
Juan x Oakley F	link	Oakley F	0.21471571906354514	#888888
Juan	link	Juan x Peyton	0.23612261806130902	#888888
Juan x Peyton	link	Peyton	0.23612261806130902	#888888
Juan	link	Juan x Sean	0.3864077669902913	#888888
Juan x Sean	link	Sean	0.3864077669902913	#888888
Kamden	link	Kamden x Landon	0.13449023861171366	#888888
Kamden x Landon	link	Landon	0.13449023861171366	#888888
Khalil	link	Khalil x Landon	0.14285714285714285	#888888
Khalil x Landon	link	Landon	0.14285714285714285	#888888
Kiara	link	Kiara x Landon	0.43112701252236135	#888888
Kiara x Landon	link	Landon	0.43112701252236135	#888888
Kingston	link	Kingston x Landon	0.1836734693877551	#888888
Kingston x Landon	link	Landon	0.1836734693877551	#888888
Kira	link	Kira x Landon	0.1543134872417983	#888888
Kira x Landon	link	Landon	0.1543134872417983	#888888
Lana	link	Lana x Olivia	0.17012448132780084	#888888
Lana x Olivia	link	Olivia	0.17012448132780084	#888888
Landon	link	Landon x Lexi	0.46536203522504893	#888888
Landon x Lexi	link	Lexi	0.46536203522504893	#888888
Landon	link	Landon x Lorelai	0.2265625	#888888
Landon x Lorelai	link	Lorelai	0.2265625	#888888
Landon	link	Landon x Lyla	0.4388185654008439	#888888
Landon x Lyla	link	Lyla	0.4388185654008439	#888888
Landon	link	Landon x Madilyn	0.07990314769975787	#888888
Landon x Madilyn	link	Madilyn	0.07990314769975787	#888888
Landon	link	Landon x Maia	0.3206831119544592	#888888
Landon x Maia	link	Maia	0.3206831119544592	#888888
Landon	link	Landon x Malakai	0.18673647469458987	#888888
Landon x Malakai	link	Malakai	0.18673647469458987	#888888
Landon	link	Landon x Maximilian	0.3024193548387097	#888888
Landon x Maximilian	link	Maximilian	0.3024193548387097	#888888
Landon	link	Landon x Melody	0.3333333333333333	#888888
Landon x Melody	link	Melody	0.3333333333333333	#888888
Landon	link	Landon x Michelle	0.2881844380403458	#888888
Landon x Michelle	link	Michelle	0.2881844380403458	#888888
Landon	link	Landon x Mila	0.3784705309303458	#888888
Landon x Mila	link	Mila	0.3784705309303458	#888888
Landon	link	Landon x Nicholas	0.26295210166177907	#888888
Landon x Nicholas	link	Nicholas	0.26295210166177907	#888888
Landon	link	Landon x Nylah	0.3058823529411765	#888888
Landon x Nylah	link	Nylah	0.3058823529411765	#888888
Landon	link	Landon x Oaklyn	0.16634799235181644	#888888
Landon x Oaklyn	link	Oaklyn	0.16634799235181644	#888888
Landon	link	Landon x Olivia	0.1441340782122905	#888888
Landon x Olivia	link	Olivia	0.1441340782122905	#888888
Landon	link	Landon x Peyton	0.260729475447867	#888888
Landon x Peyton	link	Peyton	0.260729475447867	#888888
Landon	link	Landon x Presley	0.08798283261802575	#888888
Landon x Presley	link	Presley	0.08798283261802575	#888888
Landon	link	Landon x Quentin	0.43520309477756286	#888888
Landon x Quentin	link	Quentin	0.43520309477756286	#888888
Landon	link	Landon x Remington M	0.37264150943396224	#888888
Landon x Remington M	link	Remington M	0.37264150943396224	#888888
Landon	link	Landon x Richard	0.3514644351464435	#888888
Landon x Richard	link	Richard	0.3514644351464435	#888888
Landon	link	Landon x Ryan M	0.37937743190661477	#888888
Landon x Ryan M	link	Ryan M	0.37937743190661477	#888888
Landon	link	Landon x Sara	0.00950734658599827	#888888
Landon x Sara	link	Sara	0.00950734658599827	#888888
Landon	link	Landon x Sarah	0.1695906432748538	#888888
Landon x Sarah	link	Sarah	0.1695906432748538	#888888
Landon	link	Landon x Sean	0.2350945225399903	#888888
Landon x Sean	link	Sean	0.2350945225399903	#888888
Landon	link	Landon x Sophia	0.21085594989561587	#888888
Landon x Sophia	link	Sophia	0.21085594989561587	#888888
Landon	link	Landon x Titus	0.15609756097560976	#888888
Landon x Titus	link	Titus	0.15609756097560976	#888888
Landon	link	Landon x Tristan	0.1346704871060172	#888888
Landon x Tristan	link	Tristan	0.1346704871060172	#888888
Landon	link	Landon x Wade	0.05104305370616955	#888888
Landon x Wade	link	Wade	0.05104305370616955	#888888
Landon	link	Landon x Waylon	0.18930957683741648	#888888
Landon x Waylon	link	Waylon	0.18930957683741648	#888888
Landon	link	Landon x Wesley	0.05359877488514548	#888888
Landon x Wesley	link	Wesley	0.05359877488514548	#888888
Landon	link	Landon x Willa	0.38335607094133695	#888888
Landon x Willa	link	Willa	0.38335607094133695	#888888
Landon	link	Landon x Winston	0.4397031539888683	#888888
Landon x Winston	link	Winston	0.4397031539888683	#888888
Landon	link	Landon x Zaire	0.31608133086876156	#888888
Landon x Zaire	link	Zaire	0.31608133086876156	#888888
Lilliana	link	Lilliana x Peyton	0.4533106960950764	#888888
Lilliana x Peyton	link	Peyton	0.4533106960950764	#888888
Mila	link	Mila x Sean	0.06553911205073996	#888888
Mila x Sean	link	Sean	0.06553911205073996	#888888
Oakley F	link	Oakley F x Olivia	0.3758300132802125	#888888
Oakley F x Olivia	link	Olivia	0.3758300132802125	#888888
Oakley F	link	Oakley F x Owen	0.2037037037037037	#888888
Oakley F x Owen	link	Owen	0.2037037037037037	#888888
Olivia	link	Olivia x Parker M	0.21897810218978103	#888888
Olivia x Parker M	link	Parker M	0.21897810218978103	#888888
Parker M	link	Parker M x Peyton	0.14096185737976782	#888888
Parker M x Peyton	link	Peyton	0.14096185737976782	#888888
Parker M	link	Parker M x Rosalie	0.43520309477756286	#888888
Parker M x Rosalie	link	Rosalie	0.43520309477756286	#888888
Peyton	link	Peyton x Ryan M	0.351027397260274	#888888
Peyton x Ryan M	link	Ryan M	0.351027397260274	#888888
Peyton	link	Peyton x Sean	0.0954356846473029	#888888
Peyton x Sean	link	Sean	0.0954356846473029	#888888
Peyton	link	Peyton x Wade	0.42663656884875845	#888888
Peyton x Wade	link	Wade	0.42663656884875845	#888888
Peyton	link	Peyton x Xander	0.22641509433962265	#888888
Peyton x Xander	link	Xander	0.22641509433962265	#888888
